;Station_id;date_from;date_to;altitude;latitude;longitude;name;state
4597;19310101;2010-12-31;792;47.5769;10.7181;Schwangau-Horn;Bayern;Frei
4605;19500101;2024-12-31;277;50.6441;11.1936;Schwarzburg;ThÃ¼ringen;Frei
4606;19600101;1980-12-31;116;51.5167;14.35;Schwarze Pumpe;Brandenburg;Frei
4612;19230101;1964-12-31;418;50.5513;12.7678;Schwarzenberg;Sachsen;Frei
4621;19400101;2003-12-31;240;50.0575;10.216;Schweinfurt-Gartenstadt;Bayern;Frei
4625;18880101;2024-12-31;59;53.6424;11.3871;Schwerin;Mecklenburg-Vorpommern;Frei
4629;19750101;1998-12-31;37;54.5166;9.142;Schwesing;Schleswig-Holstein;Frei
4642;19770101;2024-12-31;22;52.8911;11.7297;Seehausen;Sachsen-Anhalt;Frei
4649;19370101;1955-12-31;214;50.8698;7.3228;Seelscheid;Nordrhein-Westfalen;Frei
4651;19060101;2024-12-31;189;51.904;10.1885;Seesen;Niedersachsen;Frei
4656;18810101;1972-12-31;49;53.9278;10.2993;Segeberg, Bad;Schleswig-Holstein;Frei
4664;19220101;1999-12-31;611;50.1969;12.1727;Selb/Oberfranken-Wildenau;Bayern;Frei
4692;18950101;2017-12-31;229;50.8534;7.9966;Siegen (KlÃ¤ranlage);Nordrhein-Westfalen;Frei
4703;18880101;2024-12-31;581;48.0719;9.1943;Sigmaringen-Laiz;Baden-WÃ¼rttemberg;Frei
4704;19890101;2024-12-31;508;47.5776;9.7404;Sigmarszell-Zeisertsweiler;Bayern;Frei
4705;19470101;1952-12-31;819;49.7595;12.3891;SilberhÃ¼tte;Bayern;Frei
4706;19810101;2024-12-31;358;48.2718;13.0273;Simbach/Inn;Bayern;Frei
4709;19800101;2024-12-31;445;49.9996;7.5981;Simmern-Wahlbach;Rheinland-Pfalz;Frei
4719;19980101;2006-12-31;169;49.2447;8.8787;Sinsheim;Baden-WÃ¼rttemberg;Frei
4729;19900101;2003-12-31;342;50.2882;9.4583;Steinau-Seidenroth;Hessen;Frei
4741;19070101;2002-12-31;152;51.14;7.093;Solingen-Hohenscheid;Nordrhein-Westfalen;Frei
4745;19270101;2024-12-31;75;52.9604;9.793;Soltau;Niedersachsen;Frei
4748;18610101;2024-12-31;185;51.3691;10.88;Sondershausen;ThÃ¼ringen;Frei
4752;19390101;2007-12-31;626;50.3746;11.1828;Sonneberg-Neufang;ThÃ¼ringen;Frei
4763;19380101;2024-12-31;265;51.0607;9.9266;Sontra;Hessen;Frei
4765;19400101;1980-12-31;199;51.28;9.9847;Sooden-Allendorf, Bad;Hessen;Frei
4775;19490101;1965-12-31;424;49.7858;11.8211;Speinshart;Bayern;Frei
4782;19660101;1991-12-31;87;51.604;12.1093;SpÃ¶ren-Prussendorf;Sachsen-Anhalt;Frei
4806;18830101;1983-12-31;370;50.7832;11.088;Stadtilm;ThÃ¼ringen;Frei
4813;20210101;2024-12-31;318;50.0806;11.0467;Staffelstein, Bad-Stublang;Bayern;Frei
4818;19650101;2000-12-31;597;50.1531;11.7402;Stammbach-Querenbach;Bayern;Frei
4837;19860101;1989-12-31;363;47.9869;7.9466;Stegen;Baden-WÃ¼rttemberg;Frei
4841;19990101;2024-12-31;-0;53.6946;8.8735;Steinau, Kr. Cuxhaven;Niedersachsen;Frei
4847;19560101;1975-12-31;500;51.3629;9.6902;Steinberg;Niedersachsen;Frei
4857;19910101;2024-12-31;2;53.5534;9.6097;Mittelnkirchen-Hohenfelde;Niedersachsen;Frei
4878;19060101;2024-12-31;504;51.6646;10.8811;Oberharz am Brocken-Stiege;Sachsen-Anhalt;Frei
4881;19780101;1993-12-31;533;47.8591;9.0152;Stockach;Baden-WÃ¼rttemberg;Frei
4887;19470101;2024-12-31;734;48.6656;9.8648;StÃ¶tten;Baden-WÃ¼rttemberg;Frei
4896;19750101;2021-12-31;40;54.6654;9.805;Wagersrott;Schleswig-Holstein;Frei
4911;18830101;2024-12-31;351;48.8275;12.5597;Straubing;Bayern;Frei
4926;19460101;2012-12-31;224;48.7896;9.2167;Stuttgart (Neckartal);Baden-WÃ¼rttemberg;Frei
4927;17920101;1983-12-31;286;48.7693;9.1814;Stuttgart-Stadt;Baden-WÃ¼rttemberg;Frei
4928;19580101;2024-12-31;314;48.8281;9.2;Stuttgart (Schnarrenberg);Baden-WÃ¼rttemberg;Frei
